id,Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
1394,Triple S Salud Inc.,PR,Business Associate,13336,11/08/2013,Unauthorized Access/Disclosure,Paper/Films,Yes,"On November 8, 2013, the covered entity (CE), Puerto Rico Health Insurance Administration, also known as the Administracion de Seguros Salud de Puerto Rico reported to HHS that on September 23, 2013, they became aware that a vendor doing business with its business associate (BA), Triple-S Salud, disclosed protected health information (PHI) on the outside of a pamphlet mailed to beneficiaries on September 20, 2013. The PHI disclosed in the breach included the names, mailing addresses, and the health insurance claim numbers of 13,336 of the CE’s members.  The CE and BA each provided breach notification to affected individuals and the CE provided breach notification to the media.  As a result of OCR’s investigation, the CE committed to conduct a risk analysis, implement a risk management plan, revise its policies and procedures, and retrain its staff within a specified time."
1395,"Ecco Health, LLC",NV,Business Associate,5713,09/14/2012,Loss,Other Portable Electronic Device,Yes,\N
1396,"Valley Plastic Surgery, P.C.",VA,Healthcare Provider,4873,09/13/2012,Theft,Other Portable Electronic Device,No,"The covered entity’s (CE) backup hard drive was stolen from the physician’s car, along with a camera and prescription pads. All the items were thrown aside except for the hard drive.  The PHI involved in the breach consisted mainly of names and clinic notes of 4,873 individuals, while dates of birth were involved in some instances. Some photos of patients’ hands were also involved.  Following the breach, the CE filed a police report. As a result of OCR’s investigation, the CE updated HIPAA policies, re-trained staff at all levels, and contracted with a third party to provide record storage service and encryption."
1397,University of New Mexico Health Sciences Center,NM,Healthcare Provider,2365,09/12/2012,Hacking/IT Incident,Network Server,No,"Anomalous activity occurred on a single computer server utilized to support clinical trial programs at the covered entity (CE), the University of New Mexico Cancer Center.  The University of new Mexico is a component of the University of New Mexico Health Sciences Center.  The electronic protected health information (ePHI) included the names, addresses, dates of birth, phone numbers, patient identification numbers, and/or social security numbers of approximately 2,365 individuals.  Upon discovering the breach, the CE followed its investigative procedures.  The CE provided breach notifications to HHS, affected individuals, and the media. The CE improved physical security and retrained staff.   OCR obtained assurances that the CE implemented the corrective actions listed."
1398,University of Miami,FL,Healthcare Provider,64846,09/07/2012,"Other, Unauthorized Access/Disclosure",Paper/Films,No,"Two employees of the covered entity (CE), University of Miami Hospital, printed patients’ face sheets in excess of their job duties and sold them over a period of 19 months before the activity was discovered by police while on an unrelated house raid.  Following notification by the police, the CE conducted an internal investigation and determined that the breach potentially involved the protected health information (PHI) of 64,846 individuals.  The PHI involved in the breach included demographic and clinical information.  The CE provided breach notification to HHS, affected individuals, and the media.  It also applied sanctions to the involved employees.  Following the breach, the CE disseminated educational material to the workforce and reviewed its HIPAA policies and procedures. It also deployed a program which monitors its electronic systems to safeguard against inappropriate use.  OCR obtained assurance that the CE took the corrective actions listed above.  The CE also confirmed its plan to continue to perform frequent access reviews, periodic audit trail reviews, and to create and retain audit logs for routine analysis.  "
1399,"Charlotte Clark-Neitzel, MD",WA,Healthcare Provider,942,09/07/2012,Theft,Laptop,No,\N
1400,Sierra Plastic Surgery,NV,Healthcare Provider,800,09/05/2012,"Hacking/IT Incident, Unauthorized Access/Disclosure",Network Server,No,\N
1401,Tricounty Behavioral Health Clinic,GA,Healthcare Provider,4000,08/31/2012,Theft,Laptop,No,\N
1402,"Cancer Care Group, P.C.",IN,Healthcare Provider,55000,08/28/2012,Theft,Other Portable Electronic Device,No,"$750,000 HIPAA settlement emphasizes the importance of risk analysis and device and media control policies

Cancer Care Group, P.C. agreed to settle potential violations of the Health Insurance Portability and Accountability Act of 1996 (HIPAA) Privacy and Security Rules with the U.S. Department of Health and Human Services (HHS), Office for Civil Rights (OCR). Cancer Care paid $750,000 and will adopt a robust corrective action plan to correct deficiencies in its HIPAA compliance program. Cancer Care Group is a radiation oncology private physician practice, with 13 radiation oncologists serving hospitals and clinics throughout Indiana.

On August 29, 2012, OCR received notification from Cancer Care regarding a breach of unsecured electronic protected health information (ePHI) after a laptop bag was stolen from an employee’s car. The bag contained the employee’s computer and unencrypted backup media, which contained the names, addresses, dates of birth, Social Security numbers, insurance information and clinical information of approximately 55,000 current and former Cancer Care patients.

OCR’s subsequent investigation found that, prior to the breach, Cancer Care was in widespread non-compliance with the HIPAA Security Rule. It had not conducted an enterprise-wide risk analysis when the breach occurred in July 2012. Further, Cancer Care did not have in place a written policy specific to the removal of hardware and electronic media containing ePHI into and out of its facilities, even though this was common practice within the organization. OCR found that these two issues, in particular, contributed to the breach, as an enterprise-wide risk analysis could have identified the removal of unencrypted backup media as an area of significant risk to Cancer Care’s ePHI, and a comprehensive device and media control policy could have provided employees with direction in regard to their responsibilities when removing devices containing ePHI from the facility.

“Organizations must complete a comprehensive risk analysis and establish strong policies and procedures to protect patients’ health information,” said OCR Director Jocelyn Samuels. “Further, proper encryption of mobile devices and electronic media reduces the likelihood of a breach of protected health information.”

Cancer Care has taken corrective action with regard to the specific requirements of the Privacy and Security Rules that are at the core of this enforcement action, as well as actions to come into compliance with the other provisions of the HIPAA Rules. The Resolution Agreement and Corrective Action Plan (CAP) can be found on the OCR website at: http://www.hhs.gov/ocr/privacy/hipaa/enforcement/examples/cancercare.html

HHS offers guidance on how your organization can conduct a HIPAA Risk Analysis: http://www.healthit.gov/providers-professionals/security-risk-assessment

To learn more about non-discrimination and health information privacy laws, your civil rights, and privacy rights in health care and human service settings, and to find information on filing a complaint, visit us at http://www.hhs.gov/ocr/office.

###"
1403,LANA MEDICAL CARE,FL,Healthcare Provider,500,08/28/2012,Theft,Laptop,No,\N
1404,Central States Southeast and Siouthwest Areas Health & Welfare Fund,IL,Health Plan,754,08/21/2012,"Other, Unauthorized Access/Disclosure",Paper/Films,No,\N
1405,The University of Texas MD Anderson Cancer Center,TX,Healthcare Provider,2264,08/17/2012,Loss,Other Portable Electronic Device,No,\N
1406,"Liberty Resources, Inc.",PA,Healthcare Provider,3183,08/17/2012,Theft,Laptop,No,"An employee's personal laptop computer that contained the unencrypted electronic protected health information (ePHI) of 3,183 individuals was stolen from his vehicle.  The ePHI involved in the breach included consumer names, identification numbers, diagnosis codes,  base service unit numbers, service start and end dates, service names, procedure codes, service location identifiers, units authorized, units utilized, units cost, total authorization amounts, total utilized amounts, authorization dates, funding sources, provider names, and master provider index numbers.  The CE timely notified all affected individuals, the media, and HHS, and offered assistance to consumers who wished to place fraud alerts on their consumer credit files.  Following the breach, the CE created and implemented a new policy and procedure to improve safeguards.  This policy prohibits downloading any PHI to a home computer or portable device, prohibits forwarding emails containing PHI to a personal account, cloud service, or unauthorized user, and requires full-disk encryption of agency laptops.  OCR obtained assurances that the CE implemented the corrective action listed above.
\
\
\"
1407,Memorial Healthcare System,FL,Healthcare Provider,105646,08/16/2012,Theft,Electronic Medical Record,No,\N
1408,"Apria Healthcare, Inc., Privacy Manager Breach",CA,Healthcare Provider,,08/15/2012,Theft,Laptop,No,"On August 13, 2012, the covered entity (CE), Apria Healthcare, Inc., reported that an unencrypted laptop computer was stolen from a workforce member’s locked vehicle. The laptop contained the electronic protected health information (ePHI) of 65,700 individuals.  The PHI involved in the breach included names, addresses, birth dates, social security numbers, and isolated instances of driver’s licenses, financial and medical information.  The CE provided breach notification to HHS, the affected individuals and the media.  The CE sanctioned the workforce member,  encrypted all laptop and desktop computers, and retrained workforce members.  OCR obtained assurances that the CE implemented the corrective actions noted above."
1409,"Heartland Pathology Associates, P.A.",FL,Healthcare Provider,1175,08/15/2012,Theft,Other Portable Electronic Device,No,"Heartland Pathology Associates, P.A., the covered entity (CE), discovered that its past business associate (BA), Medical Business Service, Inc., suffered a breach when an employee downloaded protected health information (PHI) to a portable computer drive and provided the drive to a third party.  The breach affected 1,175 individuals and included patients' names, addresses, telephone numbers, social security numbers, dates of birth, insurance carriers, insurance policy numbers, physicians' name, diagnosis information, medical record numbers, account numbers, admission and discharge dates, and gender. The CE delayed providing breach notification due to a law enforcement investigation.  Once given approval, the CE timely sent breach notification to HHS, affected individuals, and the media and posted substitute notification online.  The CE contracted with Florida Hospital Heartland Medical Center (“Hospital”) for annual HIPAA training and for use of a computer maintained and monitored by the Hospital’s information technology department.  The CE received assurances that PHI maintained by its BA was destroyed.  OCR obtained assurances that the CE has implemented the corrective actions listed above."
1410,TEMPLE COMMUNITY HOSPITAL,CA,Healthcare Provider,603,08/15/2012,Theft,Desktop Computer,No,\N
1411,"Siemens Medical Solutions, USA",PA,Business Associate,66601,08/10/2012,Theft,Laptop,Yes,\N
1412,Harris County Hospital District,TX,Healthcare Provider,2875,08/03/2012,Theft,"Electronic Medical Record, Paper/Films",No,\N
1413,"Stanford Hospital & Clinics and School of Medicine, Privacy Manager Breach",CA,Healthcare Provider,2300,08/03/2012,Theft,Desktop Computer,No,"The covered entity (CE), Stanford Health Care (SHC)(formerly Stanford Hospital and Clinics), and Stanford School of Medicine (SOM),  reported that on July 15 or 16, 2012, a password-protected computer was stolen from a locked SOM workforce member's office.  The electronic protected health information (ePHI) of approximately 2,641 individuals may have been affected by this incident.  The ePHI involved in the breach included clinical and demographic information related to SHC patient care and SOM research.  The CE reported that there was no evidence to indicate that ePHI had been inappropriately accessed.  The CE contacted law enforcement, notified the affected individuals, offered identity protection services at no cost to the affected individuals, established a toll-free call center to assist affected individuals with questions or concerns, and notification the media and HHS.  As a result of the breach and OCR’s corresponding investigation, the CE implemented additional physical safeguards, audited SCH desktops and laptops to ensure encryption, issued security awareness reminders to workforce, and initiated plans to implement an improved risk management process."
1414,Oregon Health & Science University,OR,Healthcare Provider,702,07/31/2012,Theft,Other,No,\N
1415,VNA Health Care Hartford Hospital,CT,,,07/31/2012,,,No,
1416,EMC,CT,Business Associate,7461,07/30/2012,Theft,Laptop,Yes,\N
1417,Walgreen Co.,IL,Healthcare Provider,1240,07/30/2012,Theft,Paper/Films,No,\N
1418,Northwestern Memorial Hospital,IL,Healthcare Provider,4211,07/27/2012,Theft,"Laptop, Other Portable Electronic Device",No,\N
1419,Jeffrey Paul Edelstein M.D.,AZ,Healthcare Provider,4800,07/27/2012,Theft,Network Server,No,\N
1420,Kindred Healthcare Inc d/b/a Kindred Transitional Care and Rehabilitation-Sellersburg,IN,Healthcare Provider,1504,07/25/2012,Theft,Other,No,\N
1421,"The Surgeons of Lake County, LLC",IL,Healthcare Provider,7067,07/25/2012,Other,Network Server,No,\N
1422,NYU School of Medicine Faculty Group Practice,NY,Healthcare Provider,8488,07/23/2012,Theft,Desktop Computer,No,\N
1423,Beth Israel Deaconess Medical Center,MA,Healthcare Provider,3900,07/20/2012,Theft,Laptop,No,"A physician’s unencrypted personal laptop computer, which he used for business purposes, was stolen from his office on the campus of the covered entity (CE), Beth Israel Deaconess Medical Center.  The laptop contained the PHI of approximately 3,900 individuals, including short summaries of medical information and the names and social security numbers of two individuals.
After discovering the breach, the CE notified the police and hired an independent forensic firm.  The CE provided breach notification to HHS, affected individuals, and the media.  The CE also offered affected individuals one year of free credit monitoring and access to a dedicated call center to contact with questions regarding the incident.
As a result of this incident, the CE retrained staff, enhanced its data security policy, and initiated an awareness campaign to educate and alert its workforce of security and privacy issues. The CE improved technical safeguards by encrypting or disabling all of its laptops. The CE counseled the physician whose laptop was stolen and assured that his replacement laptop was secured to the desk and encrypted.
OCR’s investigation occurred simultaneously with the Massachusetts Attorney General’s Office (AGO) investigation into the same incident. Pursuant to an information sharing agreement, OCR and the AGO worked in collaboration to ensure the corrective action and future compliance of this CE.
"
1424,Pamlico Medical Equipment LLC,NC,Healthcare Provider,2917,07/17/2012,Loss,Other Portable Electronic Device,No,\N
1425,Molalla Family Dental,OR,Healthcare Provider,4354,07/16/2012,"Hacking/IT Incident, Other, Unauthorized Access/Disclosure",Network Server,No,"The CE did not control access to the electronic protected health information (ePHI) of 4,354 individuals which was contained in the CE’s network-attached storage.  Specifically, the CE’s firewall was set to allow access to a port that permitted anyone outside of CE’s firewall to access patient information.  The ePHI involved in the breach included names, addresses, email addresses, dates of birth, patient intake sheets, invoices, dental charts, photos, x-rays, insurance information, credit card numbers, dates of birth, and social security numbers.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE closed access to the unsecured port, encrypted ePHI, upgraded operating system software on all workstations, implemented new firewall rules, installed a new server, set up automatic software patching and spyware removal, and deployed new virus and spam filters.  The CE also retrained employees and implemented extensive policies and procedures, including new backup procedures for ePHI.  OCR obtained assurances that the corrective actions were taken."
1426,"Hamner Square Dental, Privacy Manager Breach",CA,,,07/16/2012,,,No,
1427,Visiting Nurse Services of Iowa,IA,Healthcare Provider,1298,07/16/2012,Theft,Paper/Films,No,\N
1428,"Patterson Dental, Inc.",MN,Business Associate,2533,07/13/2012,"Loss, Unauthorized Access/Disclosure, Unknown",Other Portable Electronic Device,Yes,\N
1429,SwedishAmerican Health System,IL,Healthcare Provider,1500,07/12/2012,Theft,Paper/Films,No,"An individual misrepresented himself as an employee of a vendor contracted with the covered entity (CE) to dispose of x-ray films, obtained access to a storage area that contained films to be destroyed, and stole approximately 1,500 x-ray films from the CE.      The CE strongly believes that the films were stolen due to silver content rather than patient information.  The protected health information (PHI) involved in the breach included names, addresses, dates of birth, medical record numbers, account numbers and x-ray types.  The CE provided breach notification to HHS and the media and posted substitute notice online.  Following the breach, the CE examined its policies and procedures, established a committee to oversee PHI destruction processes, reviewed physical security on campuses, and issued email notices to all workforce members regarding vendor security.  OCR reviewed the CE’s policies and procedures."
1430,Health Texas Provider Network - Cardiovascular Consultants of North Texas,TX,Healthcare Provider,2462,07/05/2012,Unauthorized Access/Disclosure,Electronic Medical Record,No,"A former employee of the covered entity (CE), Baylor Health Care System and Health Texas Provider Network – Cardiovascular Consultants of North Texas, continued to access its appointment reminder system for nearly two months after employment ended.  The former employee accessed the protected health information (PHI) of 2,462 individuals, including patients’ names, phone numbers, appointment times and dates, reason for appointments, physicians’ names and facility names.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE terminated the former employee’s system access, modified its access termination protocol, and sanctioned and retrained involved staff.  As a result of OCR’s investigation, OCR obtained assurances that the corrective actions listed above were completed.  "
1431,"Sharon L. Rogers, Ph.D., ABPP",TX,Healthcare Provider,585,07/03/2012,Theft,Laptop,No,\N
1432,"Bruce G. Peller, DMD, PA",NC,Healthcare Provider,9953,06/25/2012,Unauthorized Access/Disclosure,Desktop Computer,No,"The covered entity (CE), Dr. Bruce Peller DMD, PA, discovered on April 27, 2012, that an unauthorized individual gained access to patients' protected health information (PHI) and compiled a list of such information. The CE determined that 9,953 individuals may have been affected and the following information may have been accessed: patients' names, legal guardians (if applicable), dates of birth, addresses, phone numbers, email addresses, treatment dates, internal identification numbers and account balances. The CE provided breach notification to HHS, affected individuals, and the media. In response to the breach, the CE obtained an injunction that required the destruction or return of PHI, implemented a stronger training program for its workforce, and improved its privacy and security policies. OCR obtained assurances that the CE implemented the corrective actions listed above."
1433,Karen Kietzman,MT,Healthcare Provider,708,06/22/2012,Theft,"Laptop, Other Portable Electronic Device",No,"A laptop, iPad, and portable memory drive were stolen from the office of Dr. Karen Kietzman, the covered entity (CE), affecting approximately 708 individuals.  The electronic protected health information (ePHI) contained on the devices included patients’ demographic and mental health information.  The CE provided breach notification to HHS, affected individuals, and media.  As a result of the breach, and to prevent a recurrence, the CE improved physical safeguards, encrypted her laptop, and stopped storing ePHI on any other electronic media. As a result of OCR’s investigation and technical assistance, the CE developed a risk analysis and risk management plan and developed policies and procedures to implement the Privacy, Security, and Breach Notification Rules."
1434,Wolf & Yun,KY,Healthcare Provider,824,06/22/2012,Theft,Laptop,No,"On April 24, 2012, a password protected laptop computer containing patient demographic information and auditory diagnostic testing data was stolen during office hours from a back laboratory testing room of the covered entity (CE), Wolf and Yun.  The breach affected approximately 824 individuals.  The electronic protected health information (ePHI) on the laptop included patients’ names, addresses, dates of birth, and raw auditory testing data.  The CE provided breach notification to HHS, affected individuals and the media.  Following the breach, the CE filed a police report, reviewed its policies and procedures and improved physical safeguards.  As a result of OCR’s investigation, the CE performed a risk analysis, installed a secure router, increased transmission security, revised its HIPAA policies, updated its computer operating system, created formal incident response and reporting procedures, and retrained its workforce."
1435,University of Kentucky HealthCare,KY,Healthcare Provider,4490,06/19/2012,Theft,Laptop,No,"On May 1, 2012, an unencrypted laptop of a University of Kentucky Health Care employee with the protected health information (PHI) of approximately 4,488 individuals was stolen from a workforce member’s son, who borrowed the laptop without permission and knew the computer’s password.  The PHI involved in the breach included medical record numbers, dates of visits, and chief complaints.  The covered entity (CE) provided breach notification to HHS, the media, and affected individuals, set up a toll-free number for questions, and posted substitute notice on its website.  The responsible workforce member was suspended pending an investigation and ultimately resigned.  The CE created and revised its HIPAA policies and procedures, including its mobile device policy, and implemented additional security measures to address high and moderate risks identified in its risk analysis.  Finally, the CE provided evidence of employee training and security reminders.  OCR obtained assurances that the corrective actions listed above were completed."
1436,"Gessler Clinic, P.A.",FL,Healthcare Provider,1409,06/14/2012,Theft,Paper/Films,No,\N
1437,Memorial Sloan-Kettering Cancer Center,NY,Healthcare Provider,568,06/08/2012,Theft,"Email, Other",No,"The covered entity's (CE) staff member disclosed an unencrypted Microsoft Excel graph to a non-covered entity physician who re-disclosed it to a medical education organization to be used  in a presentation.  In addition, the medical education organization posted the presentation slides on its website.  The graph contained the protected health information (PHI) of 569 individuals and included names, telephone numbers, social security numbers, ages, cities and states of residence, medical record numbers, and clinical information.  Upon discovery of the breach, the CE ensured that the information was removed from the website and deleted, sanctioned the workforce member responsible, and retrained its workforce on the use of a data loss prevention tool and the risks of embedded PHI.  As a result of OCR's investigation, the CE provided OCR with evidence of its technical safeguards and security awareness initiatives and provided assurance that it implemented the corrective action listed above."
1438,"Robert Witham, MD, FACP",OR,Healthcare Provider,11136,06/06/2012,Theft,Desktop Computer,No,\N
1439,"Metcare of Florida, Inc.",FL,Healthcare Provider,2557,06/04/2012,Theft,Other Portable Electronic Device,No,"The covered entity (CE), Metcare of Florida, discovered on May 2, 2012, that its facility had been broken into and a tablet computer was stolen.  The tablet was password protected but not encrypted and contained the following types of protected health information (PHI):  patients’ name, dates of birth, patient identification numbers, and clinical information. The theft affected 2,557 individuals. The CE provided breach notification to HHS, affected individuals, and the media and posted substitute notice on its website. In response to the breach, the CE encrypted its portable devices, implemented written policies requiring the physical safeguard of portable devices, and provided specialized training to its workforce.  OCR obtained assurances that the CE implemented the corrective actions listed above.  "
1440,PrevMED,MD,Business Associate,1444,06/04/2012,Theft,Laptop,Yes,\N
1441,Charlie Norwood VA Medical Center,GA,Healthcare Provider,824,06/04/2012,Loss,Other Portable Electronic Device,No,\N
1442,"Volunteer State Health Plan, Inc. ",TN,Health Plan,1102,05/31/2012,Loss,Paper/Films,No,"The covered entity (CE), Volunteer State Health Plan, mailed three envelopes containing the protected health information (PHI) that arrived at the contracted provider’s address damaged, with the contents missing.  The envelopes were damaged at the U.S. postal facility where they were processed and contained member claim information of 1,102 individuals, including members’ names, identification numbers, claim numbers, dates of service, procedure codes, charges, and provider information. In response to this incident, an investigator for the CE visited the mail facility where the damage occurred in an attempt to determine that the documentation was appropriately shredded under USPS policy for damaged mail.  Additionally, the CE’s mailroom began using tear resistant envelopes for oversized mailings, and the CE trained its mailroom employees on the new envelope policy.  Finally, the CE provided breach notification to HHS, the media, and affected individuals, and posted substitute notice on its website.  "
1443,Lutheran Community Services Northwest,WA,Healthcare Provider,756,05/29/2012,Theft,"Desktop Computer, Other Portable Electronic Device",No,"Two desktop computers and a USB drive were stolen during a break-in at the CE’s premises.  The devices contained the electronic protected health information (ePHI) of approximately 757 individuals.  The ePHI involved in the breach included phone numbers, email addresses, state identification card information, demographic, financial, clinical, diagnostic, and treatment information.  The CE installed new locks, added HIPAA policies and procedures, and encrypted all mobile devices.  As a result of OCR’s technical assistance, the CE revised policies and procedures, moved the back-up server offsite to a secure storage facility, and stopped saving ePHI to local computer drives."
1444,Titus Regional Medical Center,TX,Healthcare Provider,500,05/26/2012,Theft,Other,No,"Titus Regional Medical Center, the covered entity (CE), reported the theft of the protected health information (PHI) of an undetermined number of individuals from an offsite storage location. The PHI involved in the breach included first and last names, medical record numbers, account numbers, and in some cases, doctor’s reports. The CE filed a police report and provided breach notification to HHS, affected individuals, and the media. The CE also provided additional training to the involved employees. As a result of OCR’s investigation, the CE conducted a risk assessment and implemented additional safeguards for records contained in the storage location."
1445,Titus Regional Medical Center,TX,Healthcare Provider,5700,05/26/2012,Loss,Laptop,No,"OCR opened an investigation of the covered entity (CE), Titus Regional Medical Center, after it reported that its EMS laptop computer that contained the protected health information (PHI) of 5,840 patients was missing upon returning from the EMS's last transport to Titus.  It is thought that the laptop was left on the fender of the vehicle and fell off.  Although the laptop was encrypted, the CE could not confirm if the laptop was opened or closed when it dropped from the vehicle.  If the laptop was open when it dropped, then patients’ PHI (names, social security numbers, addresses, and dates of birth) may have been accessible to others.  The CE proved breach notification to HHS, affected individuals, and the media.  Following the breach the CE conducted an internal audit and determined that there was a glitch in the software parameter that permitted the download and storage of all 5,840 patients’ records on the laptops regardless of the parameter setting.  As a result of OCR’s investigation the settings on the laptops were changed, including a reduction in the time for automatic shut–off when laptops are not in use.  The CE applied sanctions to the EMT personnel involved and re-trained them on its privacy policies.  In November 2013, the CE conducted a system wide risk analysis that included all of its systems and revised and implemented its security policies.


"
1446,Independence Physical Therapy,CT,Healthcare Provider,925,05/25/2012,Theft,Desktop Computer,No,\N
1447,"Phoebe Putney Memorial Hospital, Inc. ",GA,Healthcare Provider,12937,05/24/2012,Theft,"Electronic Medical Record, Paper/Films",No,\N
1448,Physician's Automated Laboratory,CA,Healthcare Provider,745,05/23/2012,Theft,Paper/Films,No,\N
1449,"Data Image, Inc.",OH,Business Associate,15000,05/22/2012,Unauthorized Access/Disclosure,Other,Yes,\N
1450,Children's Hospital Boston,MA,Healthcare Provider,2159,05/22/2012,Theft,Laptop,No,\N
1451,Ameritas Life Insurance Corp. ,NE,Health Plan,3000,05/21/2012,Theft,Laptop,No,\N
1452,"Luz Colon, DPM  Podiatry ",FL,Healthcare Provider,1137,05/19/2012,"Loss, Theft",Laptop,No,"On March 20, 2012, an unencrypted laptop computer containing patient information was lost or stolen.  The laptop contained the demographic, clinical and financial information of 1,137 individuals.  The covered entity (CE), Absolute Foot and Ankle Specialists Inc., provided breach notification to HHS, affected individuals, and English and Spanish media. In response to the breach, the CE disallowed removal of equipment from the premises and began using cloud-based electronic medical record software.  OCR obtained assurances that the CE implemented the corrective actions listed above. "
1453,Duke University Health System,NC,Healthcare Provider,591,05/18/2012,Unauthorized Access/Disclosure,Other,No,\N
1454,West Dermatology,CA,Healthcare Provider,1900,05/18/2012,Theft,Other,No,\N
1455,UnitedHealth Group health plan single affiliated covered entity,MN,Health Plan,19100,05/18/2012,Unauthorized Access/Disclosure,Other,No,\N
1456,Our Lady of the Lake Regional Medical Center,LA,Healthcare Provider,17000,05/18/2012,"Loss, Theft",Laptop,No,"A physician’s personally owned laptop computer, which was used to conduct business on behalf of the covered entity (CE), Our Lady of the Lake Regional Medical Center, was either misplaced or stolen.  The laptop contained the electronic protected health information (ePHI) of 17,339 individuals and included patients’ names, ages, dates and times of admission/discharge, race, health coverage, medical history, and results of ICU treatments.  The CE provided breach notification to HHS, affected individuals, established a call center, and employed a service to provide identity protection services.  As a result of OCR’s investigation, the CE established and finalized controls and policies on personally owned devices used on behalf of the CE."
1457,St. Mary Medical Center,CA,Healthcare Provider,3900,05/14/2012,Loss,Other Portable Electronic Device,No,\N
1458,Family Health Services Minnesota PA,MN,Healthcare Provider,4000,05/14/2012,Theft,Laptop,No,\N
1459,Hogan Services Inc. Health Care Premium Plan,MO,Health Plan,1134,05/11/2012,Unauthorized Access/Disclosure,Email,No,"On March 30, 2012, Hogan Services Inc. (HSI), the sponsor of a fully insured employee health plan, erroneously distributed an email to 287 employees containing the electronic protected health information (ePHI) of approximately 1,134 individuals.  The ePHI included names, social security numbers, dates of birth, gender, group health plan identification numbers, member identifications, enrollment dates, and types of coverage for employees and names, dates of birth, and relationship information for employees’ spouses and dependents enrolled in the group health insurance plan.  Upon discovering the breach, HSI directed its email vendor to shut down its email server, and constructed an incident response team that went to each workstation and deleted the ePHI from employees’ computers, and shredded any copies of the email that had been printed.  HSI provided breach notification to HHS and affected individuals.  As a result of OCR’s investigation, HSI made a decision not to accept, store, or transmit ePHI, and it retrained its workforce regarding the HIPAA Rules.  HSI also added encryption software to employees’ accounts that have access to ePHI.  OCR obtained assurances that HSI implemented the corrective actions listed above. "
1460,Iowa Department of Human Services,IA,Health Plan,3000,05/11/2012,Improper Disposal,Paper/Films,No,\N
1461,Rite Aid Store 1343,WV,Healthcare Provider,2905,05/10/2012,Theft,Paper/Films,No,"On March 29, 2012, the covered entity (CE), Rite Aid Store 1343, discovered that hard copy prescriptions from 2004 were stolen from a storage building in Oceana, West Virginia.  The prescriptions contained the protected health information (PHI), of approximately 2,905 individuals, and included names and prescription information.  After the breach was discovered, the CE removed two remaining boxes of prescriptions from the storage unit and secured them.  The CE also improved physical safeguards by placing a new lock on the outside of the storage facility.  The CE reported the incident to the authorities.  As several staff members violated company policy by not ensuring that the storage area was properly secured, the CE issued final written warnings to all responsible staff members.  The CE provided breach notification to HHS, affected individuals, and the media, and also offered each affected individual free identity theft protection services for one year.  OCR obtained assurances that the CE implemented the corrective actions listed."
1462,University of Houston for UH College of Optometry,TX,Healthcare Provider,7000,05/08/2012,"Hacking/IT Incident, Unauthorized Access/Disclosure",Network Server,No,\N
1463,Baptist Health System,AL,Healthcare Provider,1655,05/04/2012,Improper Disposal,Paper/Films,No,"On March 8, 2012, a trash bag containing discarded appointment schedules was inadvertently removed from a “shred bin” at Baptist Health System’s Talladega clinic by the office cleaning service and disposed of in a dumpster without being shredded.  The protected health information (PHI) involved in the breach included patients’ names, dates of birth, dates of service, account numbers, and chart numbers for approximately 2,000 individuals.  The CE provided breach notification to affected individuals, the media, and HHS.  Following the breach, the CE initiated an internal investigation, conducted a risk assessment, and updated its policies and procedures regarding access to shred bins.  As a result of OCR’s investigation, the CE reviewed its policies and procedures with staff to ensure the adequacy of safeguards."
1464,"Stephen Haggard, DPM Podiatry ",WA,Healthcare Provider,1597,05/04/2012,Theft,Network Server,No,"Computer equipment and a safe containing unencrypted the electronic protected health information (ePHI) of 1,597 individuals were stolen from the covered entitiy’s (CE) office on March 4, 2012.  The ePHI involved in the breach included names, addresses, dates of birth, social security numbers, claims information, diagnoses, and medication information.  Following the breach, the covered entity purchased a new door and locks, a new alarm system, and alarm monitoring.  As a result of OCR’s investigation, the CE conducted a risk analysis and developed breach notification policies and procedures.  The CE also encrypted its computer server."
1465,"Oakland Vision Services, PC",MI,Healthcare Provider,3000,05/03/2012,Hacking/IT Incident,Network Server,No,\N
1466,IntraCare North Hospital,TX,Healthcare Provider,750,05/03/2012,Theft,Paper/Films,No,"A former employee of the covered entity (CE), Intracare North Hospital, stole computers, monitors, and the CE’s billing software.  The protected health information (PHI) involved in the breach included names, addresses, phone numbers, dates of birth, insurance information, and social security numbers.  The District Attorney’s Office has not provided the CE with the PHI nor have they provided the CE with the number of patients that were affected.  The CE provided breach notification to HHS, the media, and affected individuals.  Individual notification included a toll-free number and the Harris County District Attorney’s contact number.  Following OCR’s investigation, the CE improved safeguards by upgrading its system to allow for more specific monitoring of the activity of users and creating user codes to track copier use.  The CE also improved administrative safeguards by revising workforce clearance procedures for certain jobs, and improved physical safeguards by installing surveillance cameras.  In addition, staff was re-trained on the HIPAA Rules."
1467,"Safe Ride Services, Inc",AZ,Healthcare Provider,42000,05/01/2012,"Hacking/IT Incident, Unauthorized Access/Disclosure",Network Server,No,\N
1468,Thomas Jefferson University Hospitals,PA,,,04/30/2012,,,No,
